,index,ExecutionTime,ExecutionTimeUTC,ISIN,PublicationTime,PublicationTimeUTC,CCY,Venueofexecution(MICCode),Venueofpublication(MICCode),Pricenotation,Transactiontobecleared,MMTFlags,TransactionIDCode,Price,Volume,Buyer,Seller,Tradetype
0,15168,2021-04-06 09:00:04,2021-04-06T08:00:04.687000Z,SE0000310336,2021-04-06 09:00:04,2021-04-06T08:00:04.687000Z,SEK,XSTO,XSTO,MonetaryAmount,N,1O-------PH---,000041397,693.0,12,,,
1,15167,2021-04-06 09:00:04,2021-04-06T08:00:04.687000Z,SE0000310336,2021-04-06 09:00:04,2021-04-06T08:00:04.687000Z,SEK,XSTO,XSTO,MonetaryAmount,N,1O-------PH---,000041398,693.0,28,,,
2,15166,2021-04-06 09:00:04,2021-04-06T08:00:04.687000Z,SE0000310336,2021-04-06 09:00:04,2021-04-06T08:00:04.687000Z,SEK,XSTO,XSTO,MonetaryAmount,N,1O-------PH---,000041399,693.0,4,,,
3,15165,2021-04-06 09:00:04,2021-04-06T08:00:04.687000Z,SE0000310336,2021-04-06 09:00:04,2021-04-06T08:00:04.687000Z,SEK,XSTO,XSTO,MonetaryAmount,N,1O-------PH---,000041400,693.0,17,,,
4,15164,2021-04-06 09:00:04,2021-04-06T08:00:04.687000Z,SE0000310336,2021-04-06 09:00:04,2021-04-06T08:00:04.687000Z,SEK,XSTO,XSTO,MonetaryAmount,N,1O-------PH---,000041401,693.0,1,,,
5,15163,2021-04-06 09:00:04,2021-04-06T08:00:04.687000Z,SE0000310336,2021-04-06 09:00:04,2021-04-06T08:00:04.687000Z,SEK,XSTO,XSTO,MonetaryAmount,N,1O-------PH---,000041402,693.0,15,,,
6,15162,2021-04-06 09:00:04,2021-04-06T08:00:04.687000Z,SE0000310336,2021-04-06 09:00:04,2021-04-06T08:00:04.687000Z,SEK,XSTO,XSTO,MonetaryAmount,N,1O-------PH---,000041403,693.0,35,,,
7,15161,2021-04-06 09:00:04,2021-04-06T08:00:04.687000Z,SE0000310336,2021-04-06 09:00:04,2021-04-06T08:00:04.687000Z,SEK,XSTO,XSTO,MonetaryAmount,N,1O-------PH---,000041404,693.0,2,,,
8,15160,2021-04-06 09:00:04,2021-04-06T08:00:04.687000Z,SE0000310336,2021-04-06 09:00:04,2021-04-06T08:00:04.687000Z,SEK,XSTO,XSTO,MonetaryAmount,N,1O-------P----,000041405,693.0,244,,,
9,15159,2021-04-06 09:00:04,2021-04-06T08:00:04.687000Z,SE0000310336,2021-04-06 09:00:04,2021-04-06T08:00:04.687000Z,SEK,XSTO,XSTO,MonetaryAmount,N,1O-------PH---,000041406,693.0,1,,,
10,15158,2021-04-06 09:00:04,2021-04-06T08:00:04.687000Z,SE0000310336,2021-04-06 09:00:04,2021-04-06T08:00:04.687000Z,SEK,XSTO,XSTO,MonetaryAmount,N,1O-------PH---,000041407,693.0,17,,,
