,index,ExecutionTime,ExecutionTimeUTC,ISIN,PublicationTime,PublicationTimeUTC,CCY,Venueofexecution(MICCode),Venueofpublication(MICCode),Pricenotation,Transactiontobecleared,MMTFlags,TransactionIDCode,Price,Volume,Buyer,Seller,Tradetype
0,13724,2021-04-08 09:00:00,2021-04-08T08:00:00.883000Z,SE0000310336,2021-04-08 09:00:00,2021-04-08T08:00:00.883000Z,SEK,XSTO,XSTO,MonetaryAmount,N,1O-------PH---,000005164,700.0,1,,,
1,13723,2021-04-08 09:00:00,2021-04-08T08:00:00.883000Z,SE0000310336,2021-04-08 09:00:00,2021-04-08T08:00:00.883000Z,SEK,XSTO,XSTO,MonetaryAmount,N,1O-------PH---,000005165,700.0,2,,,
2,13722,2021-04-08 09:00:00,2021-04-08T08:00:00.883000Z,SE0000310336,2021-04-08 09:00:00,2021-04-08T08:00:00.883000Z,SEK,XSTO,XSTO,MonetaryAmount,N,1O-------PH---,000005166,700.0,7,,,
3,13721,2021-04-08 09:00:00,2021-04-08T08:00:00.883000Z,SE0000310336,2021-04-08 09:00:00,2021-04-08T08:00:00.883000Z,SEK,XSTO,XSTO,MonetaryAmount,N,1O-------PH---,000005167,700.0,2,,,
4,13720,2021-04-08 09:00:00,2021-04-08T08:00:00.883000Z,SE0000310336,2021-04-08 09:00:00,2021-04-08T08:00:00.883000Z,SEK,XSTO,XSTO,MonetaryAmount,N,1O-------PH---,000005168,700.0,20,,,
5,13719,2021-04-08 09:00:00,2021-04-08T08:00:00.883000Z,SE0000310336,2021-04-08 09:00:00,2021-04-08T08:00:00.883000Z,SEK,XSTO,XSTO,MonetaryAmount,N,1O-------PH---,000005169,700.0,1,,,
6,13718,2021-04-08 09:00:00,2021-04-08T08:00:00.883000Z,SE0000310336,2021-04-08 09:00:00,2021-04-08T08:00:00.883000Z,SEK,XSTO,XSTO,MonetaryAmount,N,1O-------PH---,000005170,700.0,2,,,
7,13717,2021-04-08 09:00:00,2021-04-08T08:00:00.883000Z,SE0000310336,2021-04-08 09:00:00,2021-04-08T08:00:00.883000Z,SEK,XSTO,XSTO,MonetaryAmount,N,1O-------PH---,000005171,700.0,25,,,
8,13716,2021-04-08 09:00:00,2021-04-08T08:00:00.883000Z,SE0000310336,2021-04-08 09:00:00,2021-04-08T08:00:00.883000Z,SEK,XSTO,XSTO,MonetaryAmount,N,1O-------PH---,000005172,700.0,66,,,
9,13715,2021-04-08 09:00:00,2021-04-08T08:00:00.883000Z,SE0000310336,2021-04-08 09:00:00,2021-04-08T08:00:00.883000Z,SEK,XSTO,XSTO,MonetaryAmount,N,1O-------PH---,000005173,700.0,1,,,
10,13714,2021-04-08 09:00:00,2021-04-08T08:00:00.883000Z,SE0000310336,2021-04-08 09:00:00,2021-04-08T08:00:00.883000Z,SEK,XSTO,XSTO,MonetaryAmount,N,1O-------PH---,000005174,700.0,47,,,
11,13713,2021-04-08 09:00:00,2021-04-08T08:00:00.883000Z,SE0000310336,2021-04-08 09:00:00,2021-04-08T08:00:00.883000Z,SEK,XSTO,XSTO,MonetaryAmount,N,1O-------PH---,000005175,700.0,91,,,
12,13712,2021-04-08 09:00:00,2021-04-08T08:00:00.883000Z,SE0000310336,2021-04-08 09:00:00,2021-04-08T08:00:00.883000Z,SEK,XSTO,XSTO,MonetaryAmount,N,1O-------PH---,000005176,700.0,130,,,
13,13711,2021-04-08 09:00:00,2021-04-08T08:00:00.883000Z,SE0000310336,2021-04-08 09:00:00,2021-04-08T08:00:00.883000Z,SEK,XSTO,XSTO,MonetaryAmount,N,1O-------PH---,000005177,700.0,33,,,
14,13710,2021-04-08 09:00:00,2021-04-08T08:00:00.883000Z,SE0000310336,2021-04-08 09:00:00,2021-04-08T08:00:00.883000Z,SEK,XSTO,XSTO,MonetaryAmount,N,1O-------PH---,000005178,700.0,71,,,
15,13709,2021-04-08 09:00:00,2021-04-08T08:00:00.883000Z,SE0000310336,2021-04-08 09:00:00,2021-04-08T08:00:00.883000Z,SEK,XSTO,XSTO,MonetaryAmount,N,1O-------PH---,000005179,700.0,102,,,
16,13708,2021-04-08 09:00:00,2021-04-08T08:00:00.883000Z,SE0000310336,2021-04-08 09:00:00,2021-04-08T08:00:00.883000Z,SEK,XSTO,XSTO,MonetaryAmount,N,1O-------PH---,000005180,700.0,1,,,
17,13707,2021-04-08 09:00:00,2021-04-08T08:00:00.883000Z,SE0000310336,2021-04-08 09:00:00,2021-04-08T08:00:00.883000Z,SEK,XSTO,XSTO,MonetaryAmount,N,1O-------PH---,000005181,700.0,19,,,
18,13706,2021-04-08 09:00:00,2021-04-08T08:00:00.883000Z,SE0000310336,2021-04-08 09:00:00,2021-04-08T08:00:00.883000Z,SEK,XSTO,XSTO,MonetaryAmount,N,1O-------PH---,000005182,700.0,1,,,
19,13705,2021-04-08 09:00:00,2021-04-08T08:00:00.883000Z,SE0000310336,2021-04-08 09:00:00,2021-04-08T08:00:00.883000Z,SEK,XSTO,XSTO,MonetaryAmount,N,1O-------PH---,000005183,700.0,117,,,
20,13704,2021-04-08 09:00:00,2021-04-08T08:00:00.883000Z,SE0000310336,2021-04-08 09:00:00,2021-04-08T08:00:00.883000Z,SEK,XSTO,XSTO,MonetaryAmount,N,1O-------PH---,000005184,700.0,7,,,
21,13703,2021-04-08 09:00:00,2021-04-08T08:00:00.883000Z,SE0000310336,2021-04-08 09:00:00,2021-04-08T08:00:00.883000Z,SEK,XSTO,XSTO,MonetaryAmount,N,1O-------PH---,000005185,700.0,3,,,
22,13702,2021-04-08 09:00:00,2021-04-08T08:00:00.883000Z,SE0000310336,2021-04-08 09:00:00,2021-04-08T08:00:00.883000Z,SEK,XSTO,XSTO,MonetaryAmount,N,1O-------PH---,000005186,700.0,11,,,
23,13701,2021-04-08 09:00:00,2021-04-08T08:00:00.883000Z,SE0000310336,2021-04-08 09:00:00,2021-04-08T08:00:00.883000Z,SEK,XSTO,XSTO,MonetaryAmount,N,1O-------PH---,000005187,700.0,25,,,
24,13700,2021-04-08 09:00:00,2021-04-08T08:00:00.883000Z,SE0000310336,2021-04-08 09:00:00,2021-04-08T08:00:00.883000Z,SEK,XSTO,XSTO,MonetaryAmount,N,1O-------PH---,000005188,700.0,25,,,
25,13699,2021-04-08 09:00:00,2021-04-08T08:00:00.883000Z,SE0000310336,2021-04-08 09:00:00,2021-04-08T08:00:00.883000Z,SEK,XSTO,XSTO,MonetaryAmount,N,1O-------PH---,000005189,700.0,16,,,
26,13698,2021-04-08 09:00:00,2021-04-08T08:00:00.883000Z,SE0000310336,2021-04-08 09:00:00,2021-04-08T08:00:00.883000Z,SEK,XSTO,XSTO,MonetaryAmount,N,1O-------PH---,000005190,700.0,7,,,
27,13697,2021-04-08 09:00:00,2021-04-08T08:00:00.883000Z,SE0000310336,2021-04-08 09:00:00,2021-04-08T08:00:00.883000Z,SEK,XSTO,XSTO,MonetaryAmount,N,1O-------PH---,000005191,700.0,5,,,
28,13696,2021-04-08 09:00:00,2021-04-08T08:00:00.883000Z,SE0000310336,2021-04-08 09:00:00,2021-04-08T08:00:00.883000Z,SEK,XSTO,XSTO,MonetaryAmount,N,1O-------PH---,000005192,700.0,3,,,
29,13695,2021-04-08 09:00:00,2021-04-08T08:00:00.883000Z,SE0000310336,2021-04-08 09:00:00,2021-04-08T08:00:00.883000Z,SEK,XSTO,XSTO,MonetaryAmount,N,1O-------PH---,000005193,700.0,12,,,
30,13694,2021-04-08 09:00:00,2021-04-08T08:00:00.883000Z,SE0000310336,2021-04-08 09:00:00,2021-04-08T08:00:00.883000Z,SEK,XSTO,XSTO,MonetaryAmount,N,1O-------PH---,000005194,700.0,37,,,
31,13693,2021-04-08 09:00:00,2021-04-08T08:00:00.883000Z,SE0000310336,2021-04-08 09:00:00,2021-04-08T08:00:00.883000Z,SEK,XSTO,XSTO,MonetaryAmount,N,1O-------PH---,000005195,700.0,16,,,
32,13692,2021-04-08 09:00:00,2021-04-08T08:00:00.883000Z,SE0000310336,2021-04-08 09:00:00,2021-04-08T08:00:00.883000Z,SEK,XSTO,XSTO,MonetaryAmount,N,1O-------PH---,000005196,700.0,21,,,
33,13691,2021-04-08 09:00:00,2021-04-08T08:00:00.883000Z,SE0000310336,2021-04-08 09:00:00,2021-04-08T08:00:00.883000Z,SEK,XSTO,XSTO,MonetaryAmount,N,1O-------PH---,000005197,700.0,29,,,
34,13690,2021-04-08 09:00:00,2021-04-08T08:00:00.883000Z,SE0000310336,2021-04-08 09:00:00,2021-04-08T08:00:00.883000Z,SEK,XSTO,XSTO,MonetaryAmount,N,1O-------PH---,000005198,700.0,1,,,
35,13689,2021-04-08 09:00:00,2021-04-08T08:00:00.883000Z,SE0000310336,2021-04-08 09:00:00,2021-04-08T08:00:00.883000Z,SEK,XSTO,XSTO,MonetaryAmount,N,1O-------PH---,000005199,700.0,2,,,
36,13688,2021-04-08 09:00:00,2021-04-08T08:00:00.883000Z,SE0000310336,2021-04-08 09:00:00,2021-04-08T08:00:00.883000Z,SEK,XSTO,XSTO,MonetaryAmount,N,1O-------PH---,000005200,700.0,4,,,
37,13687,2021-04-08 09:00:00,2021-04-08T08:00:00.883000Z,SE0000310336,2021-04-08 09:00:00,2021-04-08T08:00:00.883000Z,SEK,XSTO,XSTO,MonetaryAmount,N,1O-------P----,000005201,700.0,16,,,
38,13686,2021-04-08 09:00:00,2021-04-08T08:00:00.883000Z,SE0000310336,2021-04-08 09:00:00,2021-04-08T08:00:00.883000Z,SEK,XSTO,XSTO,MonetaryAmount,N,1O-------PH---,000005202,700.0,1,,,
39,13685,2021-04-08 09:00:00,2021-04-08T08:00:00.883000Z,SE0000310336,2021-04-08 09:00:00,2021-04-08T08:00:00.883000Z,SEK,XSTO,XSTO,MonetaryAmount,N,1O-------PH---,000005203,700.0,57,,,
40,13684,2021-04-08 09:00:00,2021-04-08T08:00:00.883000Z,SE0000310336,2021-04-08 09:00:00,2021-04-08T08:00:00.883000Z,SEK,XSTO,XSTO,MonetaryAmount,N,1O-------PH---,000005204,700.0,2,,,
41,13683,2021-04-08 09:00:00,2021-04-08T08:00:00.883000Z,SE0000310336,2021-04-08 09:00:00,2021-04-08T08:00:00.883000Z,SEK,XSTO,XSTO,MonetaryAmount,N,1O-------PH---,000005205,700.0,1,,,
42,13682,2021-04-08 09:00:00,2021-04-08T08:00:00.883000Z,SE0000310336,2021-04-08 09:00:00,2021-04-08T08:00:00.883000Z,SEK,XSTO,XSTO,MonetaryAmount,N,1O-------PH---,000005206,700.0,60,,,
43,13681,2021-04-08 09:00:00,2021-04-08T08:00:00.883000Z,SE0000310336,2021-04-08 09:00:00,2021-04-08T08:00:00.883000Z,SEK,XSTO,XSTO,MonetaryAmount,N,1O-------PH---,000005207,700.0,1,,,
44,13680,2021-04-08 09:00:00,2021-04-08T08:00:00.883000Z,SE0000310336,2021-04-08 09:00:00,2021-04-08T08:00:00.883000Z,SEK,XSTO,XSTO,MonetaryAmount,N,1O-------PH---,000005208,700.0,4,,,
45,13679,2021-04-08 09:00:00,2021-04-08T08:00:00.883000Z,SE0000310336,2021-04-08 09:00:00,2021-04-08T08:00:00.883000Z,SEK,XSTO,XSTO,MonetaryAmount,N,1O-------PH---,000005209,700.0,14,,,
46,13678,2021-04-08 09:00:00,2021-04-08T08:00:00.883000Z,SE0000310336,2021-04-08 09:00:00,2021-04-08T08:00:00.883000Z,SEK,XSTO,XSTO,MonetaryAmount,N,1O-------PH---,000005210,700.0,7,,,
47,13677,2021-04-08 09:00:00,2021-04-08T08:00:00.883000Z,SE0000310336,2021-04-08 09:00:00,2021-04-08T08:00:00.883000Z,SEK,XSTO,XSTO,MonetaryAmount,N,1O-------PH---,000005211,700.0,10,,,
48,13676,2021-04-08 09:00:00,2021-04-08T08:00:00.883000Z,SE0000310336,2021-04-08 09:00:00,2021-04-08T08:00:00.883000Z,SEK,XSTO,XSTO,MonetaryAmount,N,1O-------PH---,000005212,700.0,8,,,
49,13675,2021-04-08 09:00:00,2021-04-08T08:00:00.883000Z,SE0000310336,2021-04-08 09:00:00,2021-04-08T08:00:00.883000Z,SEK,XSTO,XSTO,MonetaryAmount,N,1O-------PH---,000005213,700.0,2,,,
50,13674,2021-04-08 09:00:00,2021-04-08T08:00:00.883000Z,SE0000310336,2021-04-08 09:00:00,2021-04-08T08:00:00.883000Z,SEK,XSTO,XSTO,MonetaryAmount,N,1O-------PH---,000005214,700.0,30,,,
51,13673,2021-04-08 09:00:00,2021-04-08T08:00:00.883000Z,SE0000310336,2021-04-08 09:00:00,2021-04-08T08:00:00.883000Z,SEK,XSTO,XSTO,MonetaryAmount,N,1O-------PH---,000005215,700.0,200,,,
52,13672,2021-04-08 09:00:00,2021-04-08T08:00:00.883000Z,SE0000310336,2021-04-08 09:00:00,2021-04-08T08:00:00.883000Z,SEK,XSTO,XSTO,MonetaryAmount,N,1O-------PH---,000005216,700.0,1,,,
53,13671,2021-04-08 09:00:00,2021-04-08T08:00:00.883000Z,SE0000310336,2021-04-08 09:00:00,2021-04-08T08:00:00.883000Z,SEK,XSTO,XSTO,MonetaryAmount,N,1O-------PH---,000005217,700.0,40,,,
54,13670,2021-04-08 09:00:00,2021-04-08T08:00:00.883000Z,SE0000310336,2021-04-08 09:00:00,2021-04-08T08:00:00.883000Z,SEK,XSTO,XSTO,MonetaryAmount,N,1O-------PH---,000005218,700.0,30,,,
55,13669,2021-04-08 09:00:00,2021-04-08T08:00:00.883000Z,SE0000310336,2021-04-08 09:00:00,2021-04-08T08:00:00.883000Z,SEK,XSTO,XSTO,MonetaryAmount,N,1O-------P----,000005219,700.0,35,,,
56,13668,2021-04-08 09:00:02,2021-04-08T08:00:02.407000Z,SE0000310336,2021-04-08 09:00:02,2021-04-08T08:00:02.407000Z,SEK,XSTO,XSTO,MonetaryAmount,N,12-------PH---,000011915,700.0,1,,,
57,13667,2021-04-08 09:00:03,2021-04-08T08:00:03.963000Z,SE0000310336,2021-04-08 09:00:03,2021-04-08T08:00:03.963000Z,SEK,XSTO,XSTO,MonetaryAmount,N,12-------PH---,000019064,699.6,75,,,
58,13666,2021-04-08 09:00:03,2021-04-08T08:00:03.963000Z,SE0000310336,2021-04-08 09:00:03,2021-04-08T08:00:03.963000Z,SEK,XSTO,XSTO,MonetaryAmount,N,12-------PH---,000019065,699.6,63,,,
59,13665,2021-04-08 09:00:03,2021-04-08T08:00:03.963000Z,SE0000310336,2021-04-08 09:00:03,2021-04-08T08:00:03.963000Z,SEK,XSTO,XSTO,MonetaryAmount,N,12-------PH---,000019066,699.6,10,,,
60,13664,2021-04-08 09:00:03,2021-04-08T08:00:03.963000Z,SE0000310336,2021-04-08 09:00:03,2021-04-08T08:00:03.963000Z,SEK,XSTO,XSTO,MonetaryAmount,N,12-------PH---,000019067,699.6,2,,,
61,13663,2021-04-08 09:00:03,2021-04-08T08:00:03.963000Z,SE0000310336,2021-04-08 09:00:03,2021-04-08T08:00:03.963000Z,SEK,XSTO,XSTO,MonetaryAmount,N,12-------PH---,000019068,699.6,19,,,
62,13662,2021-04-08 09:00:03,2021-04-08T08:00:03.963000Z,SE0000310336,2021-04-08 09:00:03,2021-04-08T08:00:03.963000Z,SEK,XSTO,XSTO,MonetaryAmount,N,12-------PH---,000019069,699.6,3,,,
63,13661,2021-04-08 09:00:03,2021-04-08T08:00:03.963000Z,SE0000310336,2021-04-08 09:00:03,2021-04-08T08:00:03.963000Z,SEK,XSTO,XSTO,MonetaryAmount,N,12-------PH---,000019070,699.4,3,,,
64,13660,2021-04-08 09:00:03,2021-04-08T08:00:03.963000Z,SE0000310336,2021-04-08 09:00:03,2021-04-08T08:00:03.963000Z,SEK,XSTO,XSTO,MonetaryAmount,N,12-------PH---,000019071,699.4,7,,,
65,13659,2021-04-08 09:00:03,2021-04-08T08:00:03.963000Z,SE0000310336,2021-04-08 09:00:03,2021-04-08T08:00:03.963000Z,SEK,XSTO,XSTO,MonetaryAmount,N,12-------PH---,000019072,699.4,2,,,
66,13658,2021-04-08 09:00:03,2021-04-08T08:00:03.963000Z,SE0000310336,2021-04-08 09:00:03,2021-04-08T08:00:03.963000Z,SEK,XSTO,XSTO,MonetaryAmount,N,12-------PH---,000019073,699.4,5,,,
67,13657,2021-04-08 09:00:03,2021-04-08T08:00:03.963000Z,SE0000310336,2021-04-08 09:00:03,2021-04-08T08:00:03.963000Z,SEK,XSTO,XSTO,MonetaryAmount,N,12-------PH---,000019074,699.4,3,,,
68,13656,2021-04-08 09:00:03,2021-04-08T08:00:03.963000Z,SE0000310336,2021-04-08 09:00:03,2021-04-08T08:00:03.963000Z,SEK,XSTO,XSTO,MonetaryAmount,N,12-------PH---,000019075,699.4,1,,,
69,13655,2021-04-08 09:00:03,2021-04-08T08:00:03.963000Z,SE0000310336,2021-04-08 09:00:03,2021-04-08T08:00:03.963000Z,SEK,XSTO,XSTO,MonetaryAmount,N,12-------PH---,000019076,699.4,8,,,
70,13654,2021-04-08 09:00:03,2021-04-08T08:00:03.963000Z,SE0000310336,2021-04-08 09:00:03,2021-04-08T08:00:03.963000Z,SEK,XSTO,XSTO,MonetaryAmount,N,12-------PH---,000019077,699.4,2,,,
71,13653,2021-04-08 09:00:03,2021-04-08T08:00:03.963000Z,SE0000310336,2021-04-08 09:00:03,2021-04-08T08:00:03.963000Z,SEK,XSTO,XSTO,MonetaryAmount,N,12-------PH---,000019078,699.4,3,,,
72,13652,2021-04-08 09:00:03,2021-04-08T08:00:03.963000Z,SE0000310336,2021-04-08 09:00:03,2021-04-08T08:00:03.963000Z,SEK,XSTO,XSTO,MonetaryAmount,N,12-------PH---,000019079,699.4,1,,,
73,13651,2021-04-08 09:00:03,2021-04-08T08:00:03.963000Z,SE0000310336,2021-04-08 09:00:03,2021-04-08T08:00:03.963000Z,SEK,XSTO,XSTO,MonetaryAmount,N,12-------PH---,000019080,699.4,2,,,
74,13650,2021-04-08 09:00:03,2021-04-08T08:00:03.963000Z,SE0000310336,2021-04-08 09:00:03,2021-04-08T08:00:03.963000Z,SEK,XSTO,XSTO,MonetaryAmount,N,12-------PH---,000019081,699.4,1,,,
75,13649,2021-04-08 09:00:03,2021-04-08T08:00:03.963000Z,SE0000310336,2021-04-08 09:00:03,2021-04-08T08:00:03.963000Z,SEK,XSTO,XSTO,MonetaryAmount,N,12-------PH---,000019082,699.4,3,,,
76,13648,2021-04-08 09:00:03,2021-04-08T08:00:03.963000Z,SE0000310336,2021-04-08 09:00:03,2021-04-08T08:00:03.963000Z,SEK,XSTO,XSTO,MonetaryAmount,N,12-------PH---,000019083,699.4,3,,,
77,13647,2021-04-08 09:00:03,2021-04-08T08:00:03.963000Z,SE0000310336,2021-04-08 09:00:03,2021-04-08T08:00:03.963000Z,SEK,XSTO,XSTO,MonetaryAmount,N,12-------PH---,000019084,699.4,1,,,
78,13646,2021-04-08 09:00:03,2021-04-08T08:00:03.963000Z,SE0000310336,2021-04-08 09:00:03,2021-04-08T08:00:03.963000Z,SEK,XSTO,XSTO,MonetaryAmount,N,12-------PH---,000019085,699.4,2,,,
79,13645,2021-04-08 09:00:03,2021-04-08T08:00:03.963000Z,SE0000310336,2021-04-08 09:00:03,2021-04-08T08:00:03.963000Z,SEK,XSTO,XSTO,MonetaryAmount,N,12-------PH---,000019086,699.4,2,,,
80,13644,2021-04-08 09:00:03,2021-04-08T08:00:03.963000Z,SE0000310336,2021-04-08 09:00:03,2021-04-08T08:00:03.963000Z,SEK,XSTO,XSTO,MonetaryAmount,N,12-------PH---,000019087,699.4,4,,,
