,index,ExecutionTime,ExecutionTimeUTC,ISIN,PublicationTime,PublicationTimeUTC,CCY,Venueofexecution(MICCode),Venueofpublication(MICCode),Pricenotation,Transactiontobecleared,MMTFlags,TransactionIDCode,Price,Volume,Buyer,Seller,Tradetype
0,6720,2021-04-09 09:00:01,2021-04-09T08:00:01.003000Z,SE0000310336,2021-04-09 09:00:01,2021-04-09T08:00:01.003000Z,SEK,XSTO,XSTO,MonetaryAmount,N,1O-------PH---,000004584,712.8,32,,,
1,6719,2021-04-09 09:00:01,2021-04-09T08:00:01.003000Z,SE0000310336,2021-04-09 09:00:01,2021-04-09T08:00:01.003000Z,SEK,XSTO,XSTO,MonetaryAmount,N,1O-------PH---,000004585,712.8,16,,,
2,6718,2021-04-09 09:00:01,2021-04-09T08:00:01.003000Z,SE0000310336,2021-04-09 09:00:01,2021-04-09T08:00:01.003000Z,SEK,XSTO,XSTO,MonetaryAmount,N,1O-------PH---,000004586,712.8,45,,,
3,6717,2021-04-09 09:00:01,2021-04-09T08:00:01.003000Z,SE0000310336,2021-04-09 09:00:01,2021-04-09T08:00:01.003000Z,SEK,XSTO,XSTO,MonetaryAmount,N,1O-------PH---,000004587,712.8,79,,,
4,6716,2021-04-09 09:00:01,2021-04-09T08:00:01.003000Z,SE0000310336,2021-04-09 09:00:01,2021-04-09T08:00:01.003000Z,SEK,XSTO,XSTO,MonetaryAmount,N,1O-------PH---,000004588,712.8,16,,,
5,6715,2021-04-09 09:00:01,2021-04-09T08:00:01.003000Z,SE0000310336,2021-04-09 09:00:01,2021-04-09T08:00:01.007000Z,SEK,XSTO,XSTO,MonetaryAmount,N,1O-------PH---,000004589,712.8,1,,,
6,6714,2021-04-09 09:00:01,2021-04-09T08:00:01.003000Z,SE0000310336,2021-04-09 09:00:01,2021-04-09T08:00:01.007000Z,SEK,XSTO,XSTO,MonetaryAmount,N,1O-------PH---,000004590,712.8,1,,,
7,6713,2021-04-09 09:00:01,2021-04-09T08:00:01.003000Z,SE0000310336,2021-04-09 09:00:01,2021-04-09T08:00:01.007000Z,SEK,XSTO,XSTO,MonetaryAmount,N,1O-------PH---,000004591,712.8,18,,,
8,6712,2021-04-09 09:00:01,2021-04-09T08:00:01.003000Z,SE0000310336,2021-04-09 09:00:01,2021-04-09T08:00:01.007000Z,SEK,XSTO,XSTO,MonetaryAmount,N,1O-------PH---,000004592,712.8,30,,,
9,6711,2021-04-09 09:00:01,2021-04-09T08:00:01.003000Z,SE0000310336,2021-04-09 09:00:01,2021-04-09T08:00:01.007000Z,SEK,XSTO,XSTO,MonetaryAmount,N,1O-------PH---,000004593,712.8,2,,,
10,6710,2021-04-09 09:00:01,2021-04-09T08:00:01.003000Z,SE0000310336,2021-04-09 09:00:01,2021-04-09T08:00:01.007000Z,SEK,XSTO,XSTO,MonetaryAmount,N,1O-------PH---,000004594,712.8,2,,,
11,6709,2021-04-09 09:00:01,2021-04-09T08:00:01.003000Z,SE0000310336,2021-04-09 09:00:01,2021-04-09T08:00:01.007000Z,SEK,XSTO,XSTO,MonetaryAmount,N,1O-------PH---,000004595,712.8,1,,,
