,index,ExecutionTime,ExecutionTimeUTC,ISIN,PublicationTime,PublicationTimeUTC,CCY,Venueofexecution(MICCode),Venueofpublication(MICCode),Pricenotation,Transactiontobecleared,MMTFlags,TransactionIDCode,Price,Volume,Buyer,Seller,Tradetype
0,5893,2021-03-24 08:17:40,2021-03-24T07:17:40.627000Z,SE0000310336,2021-03-24 08:17:40,2021-03-24T07:17:40.627000Z,SEK,XSTO,XSTO,MonetaryAmount,N,45-3-----P----,V000000265,675.0,1000,AVA,AVA,Exercise Related Transaction
1,5892,2021-03-24 08:17:40,2021-03-24T07:17:40.960000Z,SE0000310336,2021-03-24 08:17:40,2021-03-24T07:17:40.960000Z,SEK,XSTO,XSTO,MonetaryAmount,N,45DN-----P----,V000000322,632.36,8900,AVA,AVA,Exercise Related Transaction
2,5890,2021-03-24 09:00:00,2021-03-24T08:00:00.670000Z,SE0000310336,2021-03-24 09:00:00,2021-03-24T08:00:00.670000Z,SEK,XSTO,XSTO,MonetaryAmount,N,1O-------PH---,000004300,670.4,70,,,
3,5889,2021-03-24 09:00:00,2021-03-24T08:00:00.670000Z,SE0000310336,2021-03-24 09:00:00,2021-03-24T08:00:00.670000Z,SEK,XSTO,XSTO,MonetaryAmount,N,1O-------PH---,000004301,670.4,4,,,
4,5888,2021-03-24 09:00:00,2021-03-24T08:00:00.670000Z,SE0000310336,2021-03-24 09:00:00,2021-03-24T08:00:00.670000Z,SEK,XSTO,XSTO,MonetaryAmount,N,1O-------PH---,000004302,670.4,1,,,
5,5887,2021-03-24 09:00:00,2021-03-24T08:00:00.670000Z,SE0000310336,2021-03-24 09:00:00,2021-03-24T08:00:00.670000Z,SEK,XSTO,XSTO,MonetaryAmount,N,1O-------PH---,000004303,670.4,96,,,
6,5886,2021-03-24 09:00:00,2021-03-24T08:00:00.670000Z,SE0000310336,2021-03-24 09:00:00,2021-03-24T08:00:00.670000Z,SEK,XSTO,XSTO,MonetaryAmount,N,1O-------PH---,000004304,670.4,99,,,
7,5885,2021-03-24 09:00:00,2021-03-24T08:00:00.670000Z,SE0000310336,2021-03-24 09:00:00,2021-03-24T08:00:00.670000Z,SEK,XSTO,XSTO,MonetaryAmount,N,1O-------PH---,000004305,670.4,1,,,
8,5884,2021-03-24 09:00:00,2021-03-24T08:00:00.670000Z,SE0000310336,2021-03-24 09:00:00,2021-03-24T08:00:00.670000Z,SEK,XSTO,XSTO,MonetaryAmount,N,1O-------PH---,000004306,670.4,8,,,
9,5883,2021-03-24 09:00:00,2021-03-24T08:00:00.670000Z,SE0000310336,2021-03-24 09:00:00,2021-03-24T08:00:00.670000Z,SEK,XSTO,XSTO,MonetaryAmount,N,1O-------PH---,000004307,670.4,3,,,
10,5882,2021-03-24 09:00:00,2021-03-24T08:00:00.670000Z,SE0000310336,2021-03-24 09:00:00,2021-03-24T08:00:00.670000Z,SEK,XSTO,XSTO,MonetaryAmount,N,1O-------P----,000004308,670.4,26,,,
11,5881,2021-03-24 09:00:00,2021-03-24T08:00:00.670000Z,SE0000310336,2021-03-24 09:00:00,2021-03-24T08:00:00.670000Z,SEK,XSTO,XSTO,MonetaryAmount,N,1O-------PH---,000004309,670.4,6,,,
12,5880,2021-03-24 09:00:00,2021-03-24T08:00:00.670000Z,SE0000310336,2021-03-24 09:00:00,2021-03-24T08:00:00.670000Z,SEK,XSTO,XSTO,MonetaryAmount,N,1O-------PH---,000004310,670.4,2,,,
13,5879,2021-03-24 09:00:00,2021-03-24T08:00:00.670000Z,SE0000310336,2021-03-24 09:00:00,2021-03-24T08:00:00.670000Z,SEK,XSTO,XSTO,MonetaryAmount,N,1O-------PH---,000004311,670.4,204,,,
14,5878,2021-03-24 09:00:00,2021-03-24T08:00:00.670000Z,SE0000310336,2021-03-24 09:00:00,2021-03-24T08:00:00.670000Z,SEK,XSTO,XSTO,MonetaryAmount,N,1O-------PH---,000004312,670.4,180,,,
15,5877,2021-03-24 09:00:00,2021-03-24T08:00:00.670000Z,SE0000310336,2021-03-24 09:00:00,2021-03-24T08:00:00.670000Z,SEK,XSTO,XSTO,MonetaryAmount,N,1O-------P----,000004313,670.4,20,,,
16,5876,2021-03-24 09:00:00,2021-03-24T08:00:00.670000Z,SE0000310336,2021-03-24 09:00:00,2021-03-24T08:00:00.670000Z,SEK,XSTO,XSTO,MonetaryAmount,N,1O-------PH---,000004314,670.4,89,,,
17,5875,2021-03-24 09:00:00,2021-03-24T08:00:00.670000Z,SE0000310336,2021-03-24 09:00:00,2021-03-24T08:00:00.670000Z,SEK,XSTO,XSTO,MonetaryAmount,N,1O-------P----,000004315,670.4,123,,,
18,5874,2021-03-24 09:00:00,2021-03-24T08:00:00.670000Z,SE0000310336,2021-03-24 09:00:00,2021-03-24T08:00:00.670000Z,SEK,XSTO,XSTO,MonetaryAmount,N,1O-------P----,000004316,670.4,66,,,
