,index,ExecutionTime,ExecutionTimeUTC,ISIN,PublicationTime,PublicationTimeUTC,CCY,Venueofexecution(MICCode),Venueofpublication(MICCode),Pricenotation,Transactiontobecleared,MMTFlags,TransactionIDCode,Price,Volume,Buyer,Seller,Tradetype
0,12666,2021-03-23 09:00:03,2021-03-23T08:00:03.847000Z,SE0000310336,2021-03-23 09:00:03,2021-03-23T08:00:03.847000Z,SEK,XSTO,XSTO,MonetaryAmount,N,1O-------PH---,000018760,663.4,22,,,
1,12665,2021-03-23 09:00:03,2021-03-23T08:00:03.847000Z,SE0000310336,2021-03-23 09:00:03,2021-03-23T08:00:03.847000Z,SEK,XSTO,XSTO,MonetaryAmount,N,1O-------PH---,000018761,663.4,53,,,
2,12664,2021-03-23 09:00:03,2021-03-23T08:00:03.847000Z,SE0000310336,2021-03-23 09:00:03,2021-03-23T08:00:03.847000Z,SEK,XSTO,XSTO,MonetaryAmount,N,1O-------PH---,000018762,663.4,3,,,
3,12663,2021-03-23 09:00:03,2021-03-23T08:00:03.847000Z,SE0000310336,2021-03-23 09:00:03,2021-03-23T08:00:03.847000Z,SEK,XSTO,XSTO,MonetaryAmount,N,1O-------P----,000018763,663.4,1,,,
4,12662,2021-03-23 09:00:03,2021-03-23T08:00:03.847000Z,SE0000310336,2021-03-23 09:00:03,2021-03-23T08:00:03.850000Z,SEK,XSTO,XSTO,MonetaryAmount,N,1O-------P----,000018764,663.4,6,,,
5,12661,2021-03-23 09:00:03,2021-03-23T08:00:03.847000Z,SE0000310336,2021-03-23 09:00:03,2021-03-23T08:00:03.850000Z,SEK,XSTO,XSTO,MonetaryAmount,N,1O-------P----,000018765,663.4,66,,,
6,12660,2021-03-23 09:00:03,2021-03-23T08:00:03.847000Z,SE0000310336,2021-03-23 09:00:03,2021-03-23T08:00:03.850000Z,SEK,XSTO,XSTO,MonetaryAmount,N,1O-------P----,000018766,663.4,4,,,
7,12659,2021-03-23 09:00:03,2021-03-23T08:00:03.847000Z,SE0000310336,2021-03-23 09:00:03,2021-03-23T08:00:03.850000Z,SEK,XSTO,XSTO,MonetaryAmount,N,1O-------PH---,000018767,663.4,37,,,
8,12658,2021-03-23 09:00:03,2021-03-23T08:00:03.847000Z,SE0000310336,2021-03-23 09:00:03,2021-03-23T08:00:03.850000Z,SEK,XSTO,XSTO,MonetaryAmount,N,1O-------PH---,000018768,663.4,25,,,
9,12657,2021-03-23 09:00:03,2021-03-23T08:00:03.847000Z,SE0000310336,2021-03-23 09:00:03,2021-03-23T08:00:03.850000Z,SEK,XSTO,XSTO,MonetaryAmount,N,1O-------PH---,000018769,663.4,18,,,
