,index,ExecutionTime,ExecutionTimeUTC,ISIN,PublicationTime,PublicationTimeUTC,CCY,Venueofexecution(MICCode),Venueofpublication(MICCode),Pricenotation,Transactiontobecleared,MMTFlags,TransactionIDCode,Price,Volume,Buyer,Seller,Tradetype
0,14209,2021-03-25 09:00:04,2021-03-25T08:00:04.290000Z,SE0000310336,2021-03-25 09:00:04,2021-03-25T08:00:04.290000Z,SEK,XSTO,XSTO,MonetaryAmount,N,1O-------PH---,000025985,664.8,5,,,
1,14208,2021-03-25 09:00:04,2021-03-25T08:00:04.290000Z,SE0000310336,2021-03-25 09:00:04,2021-03-25T08:00:04.290000Z,SEK,XSTO,XSTO,MonetaryAmount,N,1O-------PH---,000025986,664.8,2,,,
2,14207,2021-03-25 09:00:04,2021-03-25T08:00:04.290000Z,SE0000310336,2021-03-25 09:00:04,2021-03-25T08:00:04.290000Z,SEK,XSTO,XSTO,MonetaryAmount,N,1O-------P----,000025987,664.8,105,,,
3,14206,2021-03-25 09:00:04,2021-03-25T08:00:04.290000Z,SE0000310336,2021-03-25 09:00:04,2021-03-25T08:00:04.290000Z,SEK,XSTO,XSTO,MonetaryAmount,N,1O-------P----,000025988,664.8,3,,,
4,14205,2021-03-25 09:00:04,2021-03-25T08:00:04.290000Z,SE0000310336,2021-03-25 09:00:04,2021-03-25T08:00:04.293000Z,SEK,XSTO,XSTO,MonetaryAmount,N,1O-------PH---,000025989,664.8,161,,,
5,14204,2021-03-25 09:00:04,2021-03-25T08:00:04.290000Z,SE0000310336,2021-03-25 09:00:04,2021-03-25T08:00:04.293000Z,SEK,XSTO,XSTO,MonetaryAmount,N,1O-------PH---,000025990,664.8,32,,,
6,14203,2021-03-25 09:00:04,2021-03-25T08:00:04.290000Z,SE0000310336,2021-03-25 09:00:04,2021-03-25T08:00:04.293000Z,SEK,XSTO,XSTO,MonetaryAmount,N,1O-------P----,000025991,664.8,220,,,
7,14202,2021-03-25 09:00:04,2021-03-25T08:00:04.290000Z,SE0000310336,2021-03-25 09:00:04,2021-03-25T08:00:04.293000Z,SEK,XSTO,XSTO,MonetaryAmount,N,1O-------PH---,000025992,664.8,22,,,
8,14201,2021-03-25 09:00:04,2021-03-25T08:00:04.290000Z,SE0000310336,2021-03-25 09:00:04,2021-03-25T08:00:04.293000Z,SEK,XSTO,XSTO,MonetaryAmount,N,1O-------PH---,000025993,664.8,2,,,
9,14200,2021-03-25 09:00:04,2021-03-25T08:00:04.290000Z,SE0000310336,2021-03-25 09:00:04,2021-03-25T08:00:04.293000Z,SEK,XSTO,XSTO,MonetaryAmount,N,1O-------PH---,000025994,664.8,62,,,
10,14199,2021-03-25 09:00:04,2021-03-25T08:00:04.290000Z,SE0000310336,2021-03-25 09:00:04,2021-03-25T08:00:04.293000Z,SEK,XSTO,XSTO,MonetaryAmount,N,1O-------PH---,000025995,664.8,37,,,
