,index,ExecutionTime,ExecutionTimeUTC,ISIN,PublicationTime,PublicationTimeUTC,CCY,Venueofexecution(MICCode),Venueofpublication(MICCode),Pricenotation,Transactiontobecleared,MMTFlags,TransactionIDCode,Price,Volume,Buyer,Seller,Tradetype
0,5639,2021-03-30 09:00:01,2021-03-30T08:00:01.343000Z,SE0000310336,2021-03-30 09:00:01,2021-03-30T08:00:01.343000Z,SEK,XSTO,XSTO,MonetaryAmount,N,1O-------PH---,000006111,681.0,1,,,
1,5638,2021-03-30 09:00:01,2021-03-30T08:00:01.343000Z,SE0000310336,2021-03-30 09:00:01,2021-03-30T08:00:01.343000Z,SEK,XSTO,XSTO,MonetaryAmount,N,1O-------PH---,000006112,681.0,8,,,
2,5637,2021-03-30 09:00:01,2021-03-30T08:00:01.343000Z,SE0000310336,2021-03-30 09:00:01,2021-03-30T08:00:01.343000Z,SEK,XSTO,XSTO,MonetaryAmount,N,1O-------PH---,000006113,681.0,38,,,
3,5636,2021-03-30 09:00:01,2021-03-30T08:00:01.343000Z,SE0000310336,2021-03-30 09:00:01,2021-03-30T08:00:01.343000Z,SEK,XSTO,XSTO,MonetaryAmount,N,1O-------P----,000006114,681.0,86,,,
4,5635,2021-03-30 09:00:01,2021-03-30T08:00:01.343000Z,SE0000310336,2021-03-30 09:00:01,2021-03-30T08:00:01.343000Z,SEK,XSTO,XSTO,MonetaryAmount,N,1O-------P----,000006115,681.0,10,,,
5,5634,2021-03-30 09:00:01,2021-03-30T08:00:01.343000Z,SE0000310336,2021-03-30 09:00:01,2021-03-30T08:00:01.343000Z,SEK,XSTO,XSTO,MonetaryAmount,N,1O-------P----,000006116,681.0,1,,,
6,5633,2021-03-30 09:00:01,2021-03-30T08:00:01.343000Z,SE0000310336,2021-03-30 09:00:01,2021-03-30T08:00:01.343000Z,SEK,XSTO,XSTO,MonetaryAmount,N,1O-------PH---,000006117,681.0,10,,,
7,5632,2021-03-30 09:00:01,2021-03-30T08:00:01.343000Z,SE0000310336,2021-03-30 09:00:01,2021-03-30T08:00:01.343000Z,SEK,XSTO,XSTO,MonetaryAmount,N,1O-------PH---,000006118,681.0,1,,,
8,5631,2021-03-30 09:00:01,2021-03-30T08:00:01.343000Z,SE0000310336,2021-03-30 09:00:01,2021-03-30T08:00:01.343000Z,SEK,XSTO,XSTO,MonetaryAmount,N,1O-------PH---,000006119,681.0,2,,,
9,5630,2021-03-30 09:00:01,2021-03-30T08:00:01.343000Z,SE0000310336,2021-03-30 09:00:01,2021-03-30T08:00:01.343000Z,SEK,XSTO,XSTO,MonetaryAmount,N,1O-------P----,000006120,681.0,6,,,
10,5629,2021-03-30 09:00:01,2021-03-30T08:00:01.343000Z,SE0000310336,2021-03-30 09:00:01,2021-03-30T08:00:01.343000Z,SEK,XSTO,XSTO,MonetaryAmount,N,1O-------P----,000006121,681.0,24,,,
