,index,ExecutionTime,ExecutionTimeUTC,ISIN,PublicationTime,PublicationTimeUTC,CCY,Venueofexecution(MICCode),Venueofpublication(MICCode),Pricenotation,Transactiontobecleared,MMTFlags,TransactionIDCode,Price,Volume,Buyer,Seller,Tradetype
0,10879,2021-03-29 09:00:03,2021-03-29T08:00:03.583000Z,SE0000310336,2021-03-29 09:00:03,2021-03-29T08:00:03.583000Z,SEK,XSTO,XSTO,MonetaryAmount,N,1O-------PH---,000021326,673.8,4,,,
1,10878,2021-03-29 09:00:03,2021-03-29T08:00:03.583000Z,SE0000310336,2021-03-29 09:00:03,2021-03-29T08:00:03.583000Z,SEK,XSTO,XSTO,MonetaryAmount,N,1O-------PH---,000021327,673.8,46,,,
2,10877,2021-03-29 09:00:03,2021-03-29T08:00:03.583000Z,SE0000310336,2021-03-29 09:00:03,2021-03-29T08:00:03.583000Z,SEK,XSTO,XSTO,MonetaryAmount,N,1O-------PH---,000021328,673.8,3,,,
3,10876,2021-03-29 09:00:03,2021-03-29T08:00:03.583000Z,SE0000310336,2021-03-29 09:00:03,2021-03-29T08:00:03.583000Z,SEK,XSTO,XSTO,MonetaryAmount,N,1O-------PH---,000021329,673.8,5,,,
4,10875,2021-03-29 09:00:03,2021-03-29T08:00:03.583000Z,SE0000310336,2021-03-29 09:00:03,2021-03-29T08:00:03.583000Z,SEK,XSTO,XSTO,MonetaryAmount,N,1O-------PH---,000021330,673.8,46,,,
5,10874,2021-03-29 09:00:03,2021-03-29T08:00:03.583000Z,SE0000310336,2021-03-29 09:00:03,2021-03-29T08:00:03.583000Z,SEK,XSTO,XSTO,MonetaryAmount,N,1O-------PH---,000021331,673.8,5,,,
6,10873,2021-03-29 09:00:03,2021-03-29T08:00:03.583000Z,SE0000310336,2021-03-29 09:00:03,2021-03-29T08:00:03.583000Z,SEK,XSTO,XSTO,MonetaryAmount,N,1O-------PH---,000021332,673.8,1,,,
7,10872,2021-03-29 09:00:03,2021-03-29T08:00:03.583000Z,SE0000310336,2021-03-29 09:00:03,2021-03-29T08:00:03.583000Z,SEK,XSTO,XSTO,MonetaryAmount,N,1O-------PH---,000021333,673.8,8,,,
8,10871,2021-03-29 09:00:03,2021-03-29T08:00:03.583000Z,SE0000310336,2021-03-29 09:00:03,2021-03-29T08:00:03.583000Z,SEK,XSTO,XSTO,MonetaryAmount,N,1O-------PH---,000021334,673.8,8,,,
9,10870,2021-03-29 09:00:03,2021-03-29T08:00:03.583000Z,SE0000310336,2021-03-29 09:00:03,2021-03-29T08:00:03.583000Z,SEK,XSTO,XSTO,MonetaryAmount,N,1O-------PH---,000021335,673.8,1,,,
10,10869,2021-03-29 09:00:03,2021-03-29T08:00:03.583000Z,SE0000310336,2021-03-29 09:00:03,2021-03-29T08:00:03.583000Z,SEK,XSTO,XSTO,MonetaryAmount,N,1O-------PH---,000021336,673.8,3,,,
11,10868,2021-03-29 09:00:03,2021-03-29T08:00:03.583000Z,SE0000310336,2021-03-29 09:00:03,2021-03-29T08:00:03.583000Z,SEK,XSTO,XSTO,MonetaryAmount,N,1O-------PH---,000021337,673.8,18,,,
12,10867,2021-03-29 09:00:03,2021-03-29T08:00:03.583000Z,SE0000310336,2021-03-29 09:00:03,2021-03-29T08:00:03.583000Z,SEK,XSTO,XSTO,MonetaryAmount,N,1O-------PH---,000021338,673.8,21,,,
13,10866,2021-03-29 09:00:03,2021-03-29T08:00:03.583000Z,SE0000310336,2021-03-29 09:00:03,2021-03-29T08:00:03.583000Z,SEK,XSTO,XSTO,MonetaryAmount,N,1O-------PH---,000021339,673.8,31,,,
14,10865,2021-03-29 09:00:03,2021-03-29T08:00:03.583000Z,SE0000310336,2021-03-29 09:00:03,2021-03-29T08:00:03.583000Z,SEK,XSTO,XSTO,MonetaryAmount,N,1O-------PH---,000021340,673.8,1,,,
15,10864,2021-03-29 09:00:03,2021-03-29T08:00:03.583000Z,SE0000310336,2021-03-29 09:00:03,2021-03-29T08:00:03.583000Z,SEK,XSTO,XSTO,MonetaryAmount,N,1O-------PH---,000021341,673.8,768,,,
16,10863,2021-03-29 09:00:03,2021-03-29T08:00:03.583000Z,SE0000310336,2021-03-29 09:00:03,2021-03-29T08:00:03.583000Z,SEK,XSTO,XSTO,MonetaryAmount,N,1O-------PH---,000021342,673.8,230,,,
17,10862,2021-03-29 09:00:03,2021-03-29T08:00:03.583000Z,SE0000310336,2021-03-29 09:00:03,2021-03-29T08:00:03.583000Z,SEK,XSTO,XSTO,MonetaryAmount,N,1O-------PH---,000021343,673.8,90,,,
18,10861,2021-03-29 09:00:03,2021-03-29T08:00:03.583000Z,SE0000310336,2021-03-29 09:00:03,2021-03-29T08:00:03.583000Z,SEK,XSTO,XSTO,MonetaryAmount,N,1O-------PH---,000021344,673.8,479,,,
19,10860,2021-03-29 09:00:03,2021-03-29T08:00:03.583000Z,SE0000310336,2021-03-29 09:00:03,2021-03-29T08:00:03.583000Z,SEK,XSTO,XSTO,MonetaryAmount,N,1O-------PH---,000021345,673.8,715,,,
20,10859,2021-03-29 09:00:03,2021-03-29T08:00:03.583000Z,SE0000310336,2021-03-29 09:00:03,2021-03-29T08:00:03.583000Z,SEK,XSTO,XSTO,MonetaryAmount,N,1O-------PH---,000021346,673.8,655,,,
